id,author_name,author_username,text,created_at,timestamp,replies,reposts,likes,views,engagement_rate,url,has_image,text_length,hashtag_count,mention_count
1944775379027464636,Sojuzzang,@18samickjotgong,"In the web3 world, AI should not be monopolized by central companies. I think it has to change into a world. @joshsimenhoff 📌 @ritualfnd applies the core principles of Web3.0 to its AI infrastructure, Safer, more reliable. Everyone. #UnlockRitual #web3 #AI",6 minutes ago,2025-07-14T23:12:22.036668,0,0,1,6,16.67,https://x.com/18samickjotgong/status/1944775379027464636,True,256,3,2
1944773881426014365,cepirit,@cepirit25,Gritual ❖ @ritualfnd Didn't think AI on chain made sense. until I saw Ritual. Heres why this chain actually surprised me 👇🏻 #UnlockRitual,12 minutes ago,2025-07-14T23:06:22.036732,2,0,2,16,25.00,https://x.com/cepirit25/status/1944773881426014365,True,137,1,1
1944771953895645670,Dj Jay,@Rtala4,"@ritualnet is breaking Big Tech's monopoly on AI. A decentralized network for training models — no AWS, no Google. @ritualfnd unlocks GPU access for everyone. Train AI on your terms. #UnlockRitual #Web3 #DePIN",19 minutes ago,2025-07-14T22:59:22.036743,3,1,6,33,30.30,https://x.com/Rtala4/status/1944771953895645670,True,209,3,2
1944750656381964394,tiramissyou,@Elis46541678006,🔎 Why joining a project like Unlock Ritual might be one of the smartest moves for your Web3 future. @ritualfnd @ritualnet #UnlockRitual,1 hour ago,2025-07-14T22:18:22.036753,1,0,0,3,33.33,https://x.com/Elis46541678006/status/1944750656381964394,True,135,1,2
1944749882142835129,surojitpvt.ip,@surojitpvt,Forgot to tag #UnlockRitual Okay this is the last post of this thread. Hope you liked it if you did don't forget to share it with others and drop your thoughts.,1 hour ago,2025-07-14T22:18:22.036761,0,0,0,8,0.00,https://x.com/surojitpvt/status/1944749882142835129,False,160,1,0
1944748199690027153,Trung Nguyễn⌘ 🛠️,@tn678741,"Kicking off the week with Ritual energy! 🔥 A new week means new sparks of creativity, fresh ideas, and growing stronger as a community. Whether you're new or a seasoned Ritualist, let's write the next legendary chapter together. Time to #UnlockRitual — let the magic begin! 🌙 ✨",1 hour ago,2025-07-14T22:18:22.036769,0,1,5,19,31.58,https://x.com/tn678741/status/1944748199690027153,True,277,1,0
1944741577437671873,Kertas (✧ᴗ✧),@kertas3655,"Playing soccer with ritual friends is very enjoyable, besides making our bodies healthier, it also strengthens friendships and trust. @ritualfnd #unlockritual",2 hours ago,2025-07-14T21:18:22.036778,0,0,0,6,0.00,https://x.com/kertas3655/status/1944741577437671873,True,158,1,1
1944737480915427488,Joel Sampaio( 🔆 )(✧ᴗ✧),@cyntax77,AI's Bitcoin moment? BTC decentralized money Ritual decentralizes intelligence Same energy. @Ritualfnd #UnlockRitual,2 hours ago,2025-07-14T21:18:22.036786,0,0,0,12,0.00,https://x.com/cyntax77/status/1944737480915427488,False,116,1,1
1944736511683133923,Frederic/Sophaxes( 🔆 )(✧ᴗ✧),@Sophaxes,"AI models shouldn't be held hostage by: API paywalls ""Approved use"" policies Corporate agendasRitual breaks the chains. #UnlockRitual @ritualfnd",2 hours ago,2025-07-14T21:18:22.036793,0,0,0,2,0.00,https://x.com/Sophaxes/status/1944736511683133923,False,144,1,1
1944736232053039162,再上车( 🔆 )(✧ᴗ✧),@wave1980,🚀 Ritual in 5 secs: Decentralized AI network = No corporate middlemen Earn for contributing@Ritualfnd #UnlockRitual,2 hours ago,2025-07-14T21:18:22.036800,0,0,0,3,0.00,https://x.com/wave1980/status/1944736232053039162,False,115,1,1
